article,template,kind,identifier,claimed_title,verdict,authority,detail
Lady Constance Malleson,news,bibliographic,,Bid for Popularity,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Lady Constance Malleson,web,bibliographic,,Melville Collection,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Lady Constance Malleson,journal,doi,10.15173/russell.v0i2.1461,Colette O'Niel: a Season in Repertory,verified,crossref,title matches record (100% similarity)
Lady Constance Malleson,news,bibliographic,,Packed Out! Hull Little Theatre's Splendid Send Off,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Algaecide,web,bibliographic,,Stomping out algae,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Stomping Out Stigma: Summit Conferences for Youth' at 80% similarity, below the threshold for a match."
Algaecide,journal,doi,10.1051/jp4:20030547,"Fate and forms of Cu in a reservoir ecosystem following copper sulfate treatment (Saint Germain les Belles, France)",verified,crossref,title matches record (100% similarity)
Algaecide,journal,doi,10.1111/j.1744-7348.1933.tb07770.x,Uses of Copper Compounds: Copper Sulfate's Role in Agriculture,verified,crossref,title similarity low (50%) but authors agree (100%) — likely the same work recorded differently
Algaecide,web,bibliographic,,Hydrated Lime: Technical Evaluation Report,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'NTP Technical Report on the Toxicity Studies of Aspergillus fumigatus Administered by Inhalation to B6C3F1/N Mice' at 56% similarity, below the threshold for a match."
Algaecide,web,bibliographic,,Barley Straw for Algae Control,verified,crossref,matched a Crossref record by title search (93% similarity); no DOI given in document
Algaecide,journal,doi,10.1016/j.bmc.2011.12.051,Chemical reactivity and microbicidal action of bethoxazin.,verified,crossref,title matches record (100% similarity)
Algaecide,web,bibliographic,,International Maritime Organization bans toxic paint substance cybutryne,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'IAMSAR Manual, Volume I – Organization and Management' at 52% similarity, below the threshold for a match."
Algaecide,web,bibliographic,,Substance Information - ECHA,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Mise sur le marché d’une substance chimique, notifier la classification à l’Agence européenne des produits chimique (ECHA)' at 70% similarity, below the threshold for a match."
Phymatocarpus maxwellii,book,bibliographic,,Wildflowers of southern Western Australia,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Natural bitumen stranding on the ocean beaches of Southern Australia: a historical and geospatial review' at 68% similarity, below the threshold for a match."
Phymatocarpus maxwellii,web,bibliographic,,Phymatocarpus maxwellii,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Phymatocarpus maxwellii,book,bibliographic,,Fragmenta Phytographiae Australiae,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Phymatocarpus maxwellii,web,bibliographic,,Species of Phymatocarpus,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Phymatocarpus maxwellii,web,bibliographic,,Phymatocarpus maxwellii,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Cephalophus maxwellii' at 77% similarity, below the threshold for a match."
Phymatocarpus maxwellii,web,bibliographic,,"Maxwell, George (1804 - 1880)",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Phymatocarpus maxwellii,journal,doi,10.5962/p.198393,A New Species of Phymatocarpus (Myrtaceae) from Southwestern Australia,verified,crossref,title matches record (100% similarity)
Phymatocarpus maxwellii,book,bibliographic,,The Western Australian flora : a descriptive catalogue,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Temporal changes in threatened ephemeral claypans over annual and decadal timescales in south-west Australia' at 47% similarity, below the threshold for a match."
Jeanine Leane,web,bibliographic,,Wiradjuri poet Jeanine Leane wins Australia's richest poetry prize,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Wiradjuri Dictionary' at 62% similarity, below the threshold for a match."
Jeanine Leane,journal,doi,10.13110/antipodes.28.1.0173,An Interview with Jeanine Leane.,verified,crossref,title matches record (100% similarity)
Jeanine Leane,journal,bibliographic,,Gender in Purple Threads: An Interview with Jeanine Leane,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Rape Work: Victims, Gender, and Emotions in Organization and Community Context' at 52% similarity, below the threshold for a match."
Jeanine Leane,web,bibliographic,,Oodgeroo Noonuccal Indigenous Poetry Prize,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Jeanine Leane,news,bibliographic,,"Growing up, Wanda got old dresses for Xmas. Her book about it just won $125k",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Book Reviews - \n            Randolph Quirk and C. L. Wrenn, An Old English Grammar, Methuen, 1955; pp. x + 166.' at 45% similarity, below the threshold for a match."
Trichostatin A,journal,doi,10.2174/0929867043365099,Trichostatin A-like hydroxamate histone deacetylase inhibitors as therapeutic agents: toxicological point of view,verified,crossref,title matches record (100% similarity)
Trichostatin A,journal,doi,10.1021/acs.jmedchem.8b01455,Structural Basis of Sirtuin 6 Inhibition by the Hydroxamate Trichostatin A: Implications for Protein Deacylase Drug Development,verified,crossref,title matches record (100% similarity)
Trichostatin A,journal,bibliographic,,Isozyme-selective activity of the HDAC inhibitor MS-275.,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Aminoanilide-Based Class I HDAC PROTACs Reveal Distinct Requirements for HDAC Inhibition and Targeted Protein Degradation: Discovery of a Mixed Class I HDAC Inhibitor/Degrader with Selective Anticancer Activity' at 79% similarity, below the threshold for a match."
Trichostatin A,book,doi,10.1016/b978-0-12-391494-1.00008-2,Epigenetic Regulation in the Nervous System,mismatch,crossref,identifier resolves to a DIFFERENT work. Document claims 'Epigenetic Regulation in the Nervous System'; record holds 'HDAC Inhibitors as Novel Therapeutics in Aging and Alzheimer’s Disease' (39% similarity)
Trichostatin A,journal,doi,10.1146/annurev.pharmtox.45.120403.095825,Clinical development of histone deacetylase inhibitors as anticancer agents,verified,crossref,title matches record (100% similarity)
Trichostatin A,book,doi,10.1007/978-1-4020-6554-5_13,Programmed Cell Death in Cancer Progression and Therapy,mismatch,crossref,identifier resolves to a DIFFERENT work. Document claims 'Programmed Cell Death in Cancer Progression and Therapy'; record holds 'Histone Deacetylase Inhibitors: Mechanisms and Clinical Significance in Cancer: HDAC Inhibitor-Induced Apoptosis' (45% similarity)
Trichostatin A,journal,doi,10.1111/j.1582-4934.2009.00831.x,Histone deacetylase inhibition and the regulation of cell growth with particular reference to liver pathobiology,verified,crossref,title matches record (100% similarity)
Trichostatin A,book,doi,10.1016/b978-0-12-812494-9.00004-4,Epigenetics of Cancer Prevention,verified,crossref,partial title match (69%)
Royal Scots,web,bibliographic,,Dumbarton's Regiment,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Royal Scots,web,bibliographic,,Venner's Uprising 1661,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Venner, Thomas (d 1661)' at 71% similarity, below the threshold for a match."
Royal Scots,web,bibliographic,,Dumbarton's Regiment,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Royal Scots,web,bibliographic,,Canada: A People's History Rebellion and Reform,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The Patriots and the People: The Rebellion of 1837 in Rural Lower Canada' at 74% similarity, below the threshold for a match."
Royal Scots,web,bibliographic,,"Proposals for Regimental Mergers, 1881 [UK]",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Proposals for reform' at 79% similarity, below the threshold for a match."
Royal Scots,web,bibliographic,,The Royal Scots (The Royal Regiment),not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The Tibetans – Matthew T Kapstein' at 44% similarity, below the threshold for a match."
Royal Scots,web,bibliographic,,Territorial and Reserve Forces Act 1907,verified,crossref,matched a Crossref record by title search (94% similarity); no DOI given in document
Royal Scots,web,bibliographic,,The Battle of Loos,verified,crossref,matched a Crossref record by title search (84% similarity); no DOI given in document
Germanic mythology,web,bibliographic,,Germanic Religion And Mythology,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Alliterative Horses' at 40% similarity, below the threshold for a match."
Germanic mythology,book,bibliographic,,World Encyclopedia,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Germanic mythology,book,bibliographic,,The Well and the Tree: World and Time in Early Germanic Culture,not_found,crossref+openalex,"no indexed record matches this description. Closest was ':<i>The Poetics of Literary Transfer in Early Modern France and England</i>' at 54% similarity, below the threshold for a match."
Germanic mythology,book,bibliographic,,Teutonic Mythology: Volume 1,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Germanic mythology,book,bibliographic,,Barbarian Rites: The Spiritual World of the Vikings and the Germanic Tribes,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Spiritual Care als Lehrangebot an der Universität Zürich' at 49% similarity, below the threshold for a match."
Germanic mythology,book,bibliographic,,Myth and Religion of the North: The Religion of Ancient Scandinavia,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Germanic mythology,journal,doi,10.3406/rbph.2018.9215,Jonas of Bobbio and the Representation of Germanic Paganism,verified,crossref,title matches record (100% similarity)
"Erengisle Sunesson, Earl of Orkney",book,bibliographic,,"Chapter Seven. On The Periphery Of The Kingdom, 1351–1397",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
"Erengisle Sunesson, Earl of Orkney",journal,doi,10.1080/03468755.2022.2138533,"The Earldom of Orkney, the Duchy of Schleswig and the Kalmar Union in 1434",verified,crossref,title matches record (100% similarity)
Mark Grebner,news,bibliographic,,"THE 2000 CAMPAIGN: DEAD CENTER; Getting a Lock on Michigan Voters, List by List",not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Mark Grebner,news,bibliographic,,End of an Era for the Master of Voter Lists,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'David Hamlin, Germany’s Empire in the East. Germans and Romania in an Era of Globalization and Total War. Cambridge, Cambridge University Press 2017' at 49% similarity, below the threshold for a match."
Mark Grebner,web,bibliographic,,Election 2012: Ingham County Drain Commissioner Race Swirls in Troubled Waters,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Plasma <i>AR</i> Alterations and Timing of Intensified Hormone Treatment for Prostate Cancer' at 39% similarity, below the threshold for a match."
Mark Grebner,news,bibliographic,,"Democracy Inc.: Politicians at All Levels Seek Expert Advice, Fueling an Industry",not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Mark Grebner,news,bibliographic,,The 'Political Score' You Might Not Even Know You Have,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Do you know what’s in the herbal medicine you’re taking?' at 51% similarity, below the threshold for a match."
Mark Grebner,news,bibliographic,,Some residents will find out if their neighbors voted or not,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Mark Grebner,journal,doi,10.1007/s11109-010-9120-2,Introduction to Social Pressure and Voting: New Experimental Evidence,verified,crossref,title matches record (100% similarity)
Mark Grebner,book,bibliographic,,The Victory Lab: The Secret Science of Winning Campaigns,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Multimedia computer‐based measures of basic science and clinical skills' at 44% similarity, below the threshold for a match."
Kemeri Murray,web,bibliographic,,Highly respected Judge farewelled,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'A Highly Respected Painter' at 76% similarity, below the threshold for a match."
Kemeri Murray,journal,bibliographic,,Vale: Dr Kemeri Murray AO,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Patrick Murray: The Man and His Writings' at 48% similarity, below the threshold for a match."
Kemeri Murray,web,bibliographic,,"MURRAY, Kemeri Ann",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Kemeri Murray,journal,bibliographic,,Snapshot of females in the profession,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The Drive of Indian Females in Financial Inclusion – A Snapshot' at 83% similarity, below the threshold for a match."
Kemeri Murray,book,bibliographic,,Born in Hope: The Early Years of the Family Court of Australia,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Left on a Doorstep: The Role of Infant Abandonment in Preserving and Exposing Family Secrets in Australia 1834–1954' at 65% similarity, below the threshold for a match."
Kemeri Murray,web,bibliographic,,Retiring judge vents Family Relationship Centre concerns,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'John, His Honour Terence Aneurin, a Circuit Judge, 2009–14; a Designated Family Judge, Swansea Civil Justice Centre, 2012–14' at 51% similarity, below the threshold for a match."
Kemeri Murray,book,bibliographic,,Chaos At The Crossroads,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Enhancing supply chain solutions with the application of chaos theory' at 56% similarity, below the threshold for a match."
Kemeri Murray,web,bibliographic,,I Heard - Zoe Brooks,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Leonard, Zoe' at 55% similarity, below the threshold for a match."
Ceratitis grahami,web,bibliographic,,Ceratitis grahami - Details,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Anolis grahami' at 67% similarity, below the threshold for a match."
Ceratitis grahami,journal,doi,10.5852/ejt.2013.50,"Notes on the frugivorous fruit fly (Diptera: Tephritidae) fauna of western Africa, with description of a new Dacus species",verified,crossref,title matches record (100% similarity)
William J. L. Sladen,web,bibliographic,,Professor Bill Sladen,not_found,crossref+openalex,"no indexed record matches this description. Closest was '""Professor Bill Duvall, History""' at 80% similarity, below the threshold for a match."
William J. L. Sladen,news,bibliographic,,"William J.L. Sladen, scientific adventurer featured in 'Fly Away Home,' dies at 96",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
William J. L. Sladen,journal,doi,10.1038/210670a0,DDT Residues in Adelie Penguins and A Crabeater Seal from Antarctica,verified,crossref,title matches record (100% similarity)
William J. L. Sladen,journal,bibliographic,,"William J.L. Sladen, 1921–2017",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'At-Sea Distribution and Abundance of Seabirds off Southern California: A 20-Year Comparison .— John W. Mason , Gerard J. McChesney , William R. McIver , Harry R. Carter , John Y. Takekawa , Richard T. Golightly , Joshua T. Ackerman , Dennis L. Orthmeyer , William M. Perry , Julie L. Yee , Mark O. Pierson , and Michael D. McCrary . 2007. Studies in Avian Biology no. 33. Cooper Ornithological Society, Camarillo, California. ix + 101 pp., 45 figures, 17 tables. ISBN: 9780943610726. Paper, $15.' at 56% similarity, below the threshold for a m"
William J. L. Sladen,web,bibliographic,,"Ecologist William Sladen, whose work helped convince EPA to ban pesticide DDT, dies at 96",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Marc Stalmans, ecologist who helped restore Gorongosa’s wildlife, dies at 66' at 63% similarity, below the threshold for a match."
William J. L. Sladen,web,bibliographic,,The Antarctic Sun: News about Antarctica - Sladen Profile,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Antarctic Convergence' at 60% similarity, below the threshold for a match."
William J. L. Sladen,web,bibliographic,,"Noted scientist, conservationist Dr. William Sladen dies at 96",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Dr. Goethe, Philanthropist, Conservationist Dies At 91' at 70% similarity, below the threshold for a match."
William J. L. Sladen,web,bibliographic,,"William J.L. Sladen, Expert on Penguin Libidos, Is Dead at 96",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The High Priest and the Great Beast at The Place of Dead Roads' at 45% similarity, below the threshold for a match."
A. V. B. Norman,journal,doi,10.1080/30650682.1998.12426612,A V B Norman: Funeral Speech read at St Mary's Cathedral,verified,crossref,title matches record (100% similarity)
A. V. B. Norman,journal,bibliographic,,"Review of The Rapier and Small-Sword, 1460–1820",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Designing the Holocaust at the Sites of the Shoah  and Museum Stores' at 44% similarity, below the threshold for a match."
A. V. B. Norman,news,doi,10.1080/09647779709515485,"Editorial: Knives, guns and the plight of the Royal Armouries",verified,crossref,title matches record (100% similarity)
A. V. B. Norman,news,bibliographic,,Roundheads and Cavaliers Join Forces to Save the Littlecote Armoury,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Upset Protrusion Joining (UPJ) Characteristics of Cast AM60 Magnesium Alloy to Join With Dissimilar Material' at 44% similarity, below the threshold for a match."
A. V. B. Norman,journal,bibliographic,,Review of Medieval Warfare by Geoffrey Hindley and The Medieval Soldier by A. V. B. Norman,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The Periphery in the Center: Sardinia in the ancient and medieval worlds' at 52% similarity, below the threshold for a match."
A. V. B. Norman,web,bibliographic,,The Early Years of the CMS,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Results from the first two years of operation of the LHC: The CMS experiment' at 84% similarity, below the threshold for a match."
A. V. B. Norman,news,bibliographic,,Claude Blair obituary,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
A. V. B. Norman,news,bibliographic,,Claude Blair: Authority on arms and armour who campaigned for the Victoria and Albert Museum in a time of crisis,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Translations in a time of crisis: the role of translators of Nietzsche, Sorel, and Bergson in addressing Edwardian political fragmentation, 1907–1915' at 52% similarity, below the threshold for a match."
Picard people,web,bibliographic,,"Populations légales 2016 : Recensement de la population Régions, départements, arrondissements, cantons et communes",not_found,crossref+openalex,"no indexed record matches this description. Closest was ""Loi n° 83-8 du 7 janvier 1983 relative à la répartition de compétences entre les communes, les départements, les régions et l'Etat"" at 61% similarity, below the threshold for a match."
Picard people,web,bibliographic,,Origin and history of Picard,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The Picard Origin of the Name ""Pathelin""' at 73% similarity, below the threshold for a match."
Picard people,journal,doi,10.3406/crai.2007.91350,Langue et société dans le Nord de la France : le picard comme langue des administrations publiques (XIIIe-XIVe s.),verified,crossref,title matches record (100% similarity)
Achatina vassei,journal,doi,10.1080/00359192409519300,The non-marine mollusca of Portuguese East Africa,verified,crossref,title matches record (100% similarity)
Camp Rice Formation,journal,doi,10.3390/d18020092,First Known Cranium of Cuvieronius (Proboscidea: Gomphotheriidae) from North America,verified,crossref,title matches record (100% similarity)
Camp Rice Formation,web,bibliographic,,Fossilworks: Gateway to the Paleobiology Database,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Phytochemical Dictionary of the Leguminosae' at 42% similarity, below the threshold for a match."
Camp Rice Formation,journal,bibliographic,,The Santa Fe Group in southcentral New Mexico border region,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Hydrogeologic-Framework, Water-Supply Well Pumping, and Acequia-Irrigation Controls on Subsurface-Water Flow and Contaminant Transport in Santa Fe Group and Alluvial-Terrace Deposits Beneath Historic Santa Fe, New Mexico' at 64% similarity, below the threshold for a match."
Camp Rice Formation,journal,bibliographic,,"A stable isotope record from paleosols and groundwater carbonate of the Plio-Pleistocene Camp Rice Formation, Hatch-Rincon Basin, southern New Mexico",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Camp Rice Formation,journal,doi,10.1016/0037-0738(92)90105-z,"Calcic paleosols of the Plio-Pleistocene Camp Rice and Palomas Formations, southern Rio Grande rift, USA",verified,crossref,title matches record (100% similarity)
Camp Rice Formation,journal,doi,10.1111/j.1365-3091.2004.00687.x,"A test of models of fluvial architecture and palaeosol development: Camp Rice Formation (Upper Pliocene-Lower Pleistocene), southern Rio Grande rift, New Mexico, USA: Plio-Pleistocene fluvial sedimentation, Rio Grande rift",verified,crossref,title matches record (100% similarity)
Camp Rice Formation,journal,doi,10.58799/nmg-v39n2.28,"The tapir Tapirus (Mammalia: Perissodactyla) from the late Pliocene (early Blancan) Tonuco Mountain Local Fauna, Camp Rice Formation, Doña Ana County, southern New Mexico",verified,crossref,title matches record (99% similarity)
Camp Rice Formation,journal,bibliographic,,"Geology of San Diego Mountain area, Doña Ana County, New Mexico",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Child,book,bibliographic,,Childhood and Adolescence: Voyages in Development,verified,crossref,matched a Crossref record by title search (91% similarity); no DOI given in document
Child,web,bibliographic,,When Is It Legal For Minors To Drink?,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'When culture meets child rights: Confucian ethics and legal challenges in mental health protection for minors in China' at 74% similarity, below the threshold for a match."
Child,web,bibliographic,,Children and the law,not_found,crossref+openalex,"no indexed record matches this description. Closest was '8. The Law Relating to Children:' at 89% similarity, below the threshold for a match."
Child,web,bibliographic,,23.8: Adulthood,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Child,web,bibliographic,,"For example, the US Social Security department specifically defines an adult child as being over 18",not_found,crossref+openalex,"no indexed record matches this description. Closest was '6 Conceptualising Child versus Adult Well-Being: Schooling and Employment' at 54% similarity, below the threshold for a match."
Child,web,bibliographic,,American Heritage Dictionary,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Child,web,bibliographic,,Convention on the Rights of the Child,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Child,web,bibliographic,,Children and Young Persons Act,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Crossness Pumping Station,journal,doi,10.1080/03090728.2021.1973226,"The Steam Pumping Stations of the London Main Drainage, 1858–75",verified,crossref,title matches record (100% similarity)
Crossness Pumping Station,web,bibliographic,,Crossness Nature Reserve,verified,crossref,matched a Crossref record by title search (90% similarity); no DOI given in document
Crossness Pumping Station,web,bibliographic,,The official opening,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Crossness Pumping Station,book,bibliographic,,The Crossness Engines,verified,crossref,matched a Crossref record by title search (90% similarity); no DOI given in document
Crossness Pumping Station,web,bibliographic,,"C02F1/463 Treatment of water, waste water, or sewage by electrochemical methods by electrolysis by electrocoagulation",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Crossness Pumping Station,news,bibliographic,,Electrical Treatment of Sewage,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Crossness Pumping Station,journal,bibliographic,,The Development of Modern Sewerage. Part II,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Professional Development of the BSW Student' at 64% similarity, below the threshold for a match."
Crossness Pumping Station,news,bibliographic,,Historic pump station gets £1.5m,not_found,crossref+openalex,"no indexed record matches this description. Closest was '£1bn Welsh power station gets the go-ahead' at 56% similarity, below the threshold for a match."
End of history,web,bibliographic,,History and Desire in Kojève,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Philosophy, History and Practical Life: the emergence of the history of political thought in England' at 67% similarity, below the threshold for a match."
End of history,journal,doi,10.1111/npqu.11399,The 'End of History' 20 Years Later,verified,crossref,title matches record (100% similarity)
End of history,news,bibliographic,,Grappling With My Family's Identity in a Post-'Brexit' Europe,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
End of history,news,bibliographic,,Ukraine crisis signals our 25-year break from history is over,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The Chemistry of the Spiroaminoketal Side Chain of Solasodine and Tomatidine. I.<sup>1</sup> Improved Preparation of 3β-Acetoxy-5,16-pregnadien-20-one and 3β-Acetoxy-5α-pregn-16-en-20-one from Solasodine and Tomatidine.' at 41% similarity, below the threshold for a match."
End of history,journal,doi,10.2139/ssrn.3236601,Keeping the Democratic Façade: Contemporary Autocratization as a Game of Deception,verified,crossref,title matches record (100% similarity)
Felicia Browne,book,bibliographic,,The Impact of the Spanish Civil War on Britain,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Felicia Browne,web,bibliographic,,Edith Bone – Anti-Nazi Resistance,verified,crossref,matched a Crossref record by title search (91% similarity); no DOI given in document
Felicia Browne,journal,bibliographic,,Felicia Browne: first British casualty in Spain,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Spain: The Rise of the First World Power' at 52% similarity, below the threshold for a match."
Felicia Browne,book,bibliographic,,Conscience and Conflict: British Artists and the Spanish Civil War,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Temple of Aesculapius (Villa Borghese),news,bibliographic,,"The Temple of Aesculapius in the Grounds of Villa Borghese, Rome, with the Greek Inscription from its Façade",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Empagliflozin in patients admitted to hospital with COVID-19 (RECOVERY): a randomised, controlled, open-label, platform trial' at 45% similarity, below the threshold for a match."
Temple of Aesculapius (Villa Borghese),web,bibliographic,,Temple of Aesculapius,verified,crossref,matched a Crossref record by title search (92% similarity); no DOI given in document
Temple of Aesculapius (Villa Borghese),web,bibliographic,,Arredi Architettonici,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Dialetti architettonici' at 82% similarity, below the threshold for a match."
Temple of Aesculapius (Villa Borghese),web,bibliographic,,Temple of Asclepius,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Temple of Aesculapius (Villa Borghese),journal,doi,10.2307/751517,A Garden of Statues and Marbles: The Soderini Collection in the Mausoleum of Augustus,verified,crossref,title matches record (100% similarity)
Temple of Aesculapius (Villa Borghese),book,bibliographic,,Le divinità della salute nell'antica Roma,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
William B. Lawson,web,bibliographic,,"William B. Lawson, MD, Ph.D. is recognized by Continental Who's Who",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Hepatitis E vaccine: WHO position paper, May 2015 – Recommendations' at 43% similarity, below the threshold for a match."
William B. Lawson,news,bibliographic,,"William B. Lawson, MD, PhD, DLFAPA, a Psychiatrist with Department of Health and Human Services Specialty Behavioral Health Services of Montgomery County - Health News Today",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'NH Department of Health and Human Services Web Site' at 87% similarity, below the threshold for a match."
William B. Lawson,web,bibliographic,,Bermuda Howard University Psychiatry Consultation Services,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Setting Standards for Consultation-Liaison Psychiatry Services' at 71% similarity, below the threshold for a match."
William B. Lawson,journal,doi,10.1016/s0027-9684(15)30043-2,From the Editor in Chief,verified,crossref,title matches record (100% similarity)
William B. Lawson,journal,doi,10.1016/s0027-9684(15)30017-1,From the Editor in Chief,verified,crossref,title matches record (100% similarity)
William B. Lawson,journal,doi,10.1016/s0027-9684(15)30001-8,From the Editor in Chief,verified,crossref,title matches record (100% similarity)
William B. Lawson,journal,doi,10.1176/pn.45.7.psychnews_45_7_024,Nominations Invited for Spurlock Minority Achievement Award,verified,crossref,title matches record (100% similarity)
William B. Lawson,journal,doi,10.1176/appi.pn.2013.6b8,Foundation Honors Programs on Minority Mental Health,verified,crossref,title matches record (100% similarity)
Cable bacteria,journal,doi,10.1038/nature08790,Electric currents couple spatially separated biogeochemical processes in marine sediment,verified,crossref,title matches record (100% similarity)
Cable bacteria,journal,doi,10.1038/nature11586,Filamentous bacteria transport electrons over centimetre distances,verified,crossref,title matches record (100% similarity)
Cable bacteria,journal,doi,10.1146/annurev-marine-010814-015708,Rethinking sediment biogeochemistry after the discovery of electric currents,verified,crossref,title matches record (100% similarity)
Cable bacteria,journal,doi,10.1038/ismej.2014.19,Electric coupling between distant nitrate reduction and sulfide oxidation in marine sediment,verified,crossref,title matches record (100% similarity)
Cable bacteria,journal,doi,10.1073/pnas.1800367115,"Long-distance electron transport in individual, living cable bacteria",verified,crossref,title matches record (100% similarity)
